ID,Gender,WeightClass,Country,Name,Nickname,CareerEarnings,Win,Loss,WinPercentage,Draw,NoContest,CurrentChampion
1,Male,Heavyweight,USA,Frank Mir,,3289,16,10,0.62,,,
2,Male,Heavyweight,BRA,Gabriel Gonzaga,Napão,1134,11,9,0.55,,,
3,Male,Heavyweight,Other,Andrei Arlovski,Pit Bull,1339,14,4,0.78,,,
4,Male,Heavyweight,Other,Stefan Struve,Skyscraper,850,10,5,0.67,,,
5,Male,Heavyweight,USA,Roy Nelson,Big Country,761,7,8,0.47,,,
6,Male,Heavyweight,BRA,Junior Dos Santos,Cigano,2320,11,2,0.85,,,
7,Male,Heavyweight,USA,Cain Velasquez,,2310,11,2,0.85,,,
8,Male,Heavyweight,USA,Matt Mitrione,Meathead,598,9,4,0.69,,,
9,Male,Heavyweight,USA,Josh Barnett,The Warmaster,560,9,3,0.75,,,
10,Male,Heavyweight,USA,Travis Browne,Hapa,814,8,3,0.73,1,,
11,Male,Heavyweight,BRA,Fabricio Werdum,Vai Cavalo,1476,8,3,0.73,,,X
12,Male,Heavyweight,Other,Mirko Filipovic,Cro Cop,2085,5,6,0.45,,,
13,Male,Heavyweight,Other,Mark Hunt,Super Samoan,1339,5,4,0.56,1,,
14,Male,Heavyweight,USA,Stipe Miocic,,459,7,2,0.78,,,
15,Male,Heavyweight,BRA,Antonio Silva,Bigfoot,715,3,5,0.38,1,,
16,Male,Heavyweight,Other,Alistair Overeem,The Reem,1507.142,5,3,0.63,,,
17,Male,Heavyweight,USA,Ben Rothwell,Big,811,5,3,0.63,,,
18,Male,Heavyweight,USA,Jared Rosholt,The Big Show,139,5,1,0.83,,,
19,Male,Heavyweight,USA,Derrick Lewis,The Black Beast,137,4,2,0.67,,,
20,Male,Heavyweight,USA,Todd Duffe,,133.5,3,2,0.6,,,
21,Male,Heavyweight,USA,Anthony Hamilton,Freight Train,54,2,2,0.5,,,
22,Male,Heavyweight,POL,Daniel Omielanczuk,,44.5,2,2,0.5,,,
23,Male,Heavyweight,RUS,Ruslan Magomedov,Leopard,62.5,3,0,1,,,
24,Male,Heavyweight,Other,Viktor Pesta,Poor Honza,38.5,1,2,0.33,,,
25,Male,Heavyweight,USA,Walt Harris,The Big Ticket,24,0,3,0,,,
26,Male,Heavyweight,RUS,Oleksiy Oliynyk,The Boa Constrictor,86,2,0,1,,,
27,Male,Heavyweight,USA,Timothy Johnson,,80.5,1,1,0.5,,,
28,Male,Heavyweight,RUS,Shamil Abdurakhimo,,12,0,1,0,,,
29,Male,Heavyweight,USA,Chris De La Rocha,,12.5,0,1,0,,,
30,Male,Heavyweight,RUS,Konstantin Erokhin,The Russian Bear,8,0,1,0,,,
31,Male,Heavyweight,Other,Jarjis Danho,Man Mountain,0,0,0,0,,,
32,Male,Heavyweight,POL,Damian Grabowski,Polish Pitbull,0,0,0,0,,,
33,Male,Heavyweight,BRA,Luis Henrique,KLB,0,0,0,0,,,
34,Male,Heavyweight,RUS,Bilyal Makhov,,0,0,0,0,,,
35,Male,Heavyweight,Other,Francis Ngannou,,0,0,0,0,,,
36,Male,Light Heavyweight,USA,Rashad Evans,Suga,4035,14,4,0.78,1,,
37,Male,Light Heavyweight,USA,Ryan Bader,Darth,1117,13,4,0.76,,,
38,Male,Light Heavyweight,USA,Jon Jones,Bones,3650,15,1,0.94,,,
39,Male,Light Heavyweight,USA,Anthony Johnson,Rumble,1598,11,5,0.69,,,
40,Male,Light Heavyweight,BRA,Mauricio Rua,Shogun,3460,7,8,0.47,,,
41,Male,Light Heavyweight,USA,Quinton Jackson,Rampage,3490,8,5,0.62,,,
42,Male,Light Heavyweight,SWE,Alexander Gustafsson,The Mauler,635,8,4,0.67,,,
43,Male,Light Heavyweight,USA,Daniel Cormier,DC,1246,10,1,0.91,,,X
44,Male,Light Heavyweight,USA,Ovince Saint Preux,OSP,510,8,3,0.73,,,
45,Male,Light Heavyweight,AUS,Anthony Perosh,The Hippo,204,5,6,0.45,,,
46,Male,Light Heavyweight,USA,Tom Lawlor,Filthy,407,6,4,0.6,,,
47,Male,Light Heavyweight,USA,Gian Villante,,296,6,4,0.6,,,
48,Male,Light Heavyweight,BRA,Fabio Maldonado,The Iron Hillbilly,282,5,5,0.5,,,
49,Male,Light Heavyweight,BRA,Glover Teixeira,,485,6,2,0.75,,,
50,Male,Light Heavyweight,BRA,Antonio Rogerio Nogueira,Little Nog,1132,4,4,0.5,,,
51,Male,Light Heavyweight,USA,Patrick Cummins,Durkin,115,4,2,0.67,,,
52,Male,Light Heavyweight,Other,Nikita Krylov,Al Capone,111,4,2,0.67,,,
53,Male,Light Heavyweight,GBR,Jimi Manuwa,Poster Boy,163,4,2,0.67,,,
54,Male,Light Heavyweight,BRA,Rafael Cavalcante,Feijão,222,2,3,0.4,,1,
55,Male,Light Heavyweight,SWE,Ilir Latifi,The Sledgehammer,54,3,2,0.6,,,
56,Male,Light Heavyweight,USA,Corey Anderson,Beastin 25/8,143.5,3,1,0.75,,,
57,Male,Light Heavyweight,USA,Sean O Connell,The Real OC,160,2,2,0.5,,,
58,Male,Light Heavyweight,BRA,Marcos Rogerio de Lima,Pezão,46.5,2,2,0.5,,,
59,Male,Light Heavyweight,BRA,Francimar Barroso,Bodão,44,2,1,0.67,,,
60,Male,Light Heavyweight,POL,Jan Blachowicz,Ksi??? Cieszy?ski,117.5,1,2,0.33,,,
61,Male,Light Heavyweight,USA,Chris Dempsey,,38.5,1,2,0.33,,,
62,Male,Light Heavyweight,Other,Misha Cirkunov,,22.5,1,0,1,,,
63,Male,Light Heavyweight,USA,Jonathan Wilson,Johnny Bravo,22.5,1,0,1,,,
64,Male,Light Heavyweight,USA,Keith Berish,Sha Bang Bang,8,0,0,0,,1,
65,Male,Light Heavyweight,USA,Jared Connonier,Tha Killa Gorilla,8,0,1,0,,,
66,Male,Light Heavyweight,USA,Daniel Jolly,Werewolf of Texas,12.5,0,1,0,,,
67,Male,Light Heavyweight,RUS,Abdul-Kerim Edilov,The Chechnyan Lion,0,0,0,0,,,
68,Male,Light Heavyweight,BRA,Leonardo Guimaraes,Leleco,0,0,0,0,,,
69,Male,Middleweight,GBR,Michael Bisping,The Count,5694,17,7,0.71,,,
